Node,Label,Count
19,menial heroine and hero,200
16,magic dresses,213
18,meeting-place,210
35,threefold flight,171
14,lost shoe,140
29,shoe marriage test,132
17,marriage tests,180
6,happy marriage,315
13,ill-treated heroine and hero,150
34,task-performing animal,31
30,slaying of helpful animal,38
22,eating taboo,9
28,revivified bones,16
9,helpful animal,49
21,ear cornucopia,15
33,tasks,29
23,mutilated feet,67
5,false bride,29
2,animal witness,66
1,aid,104
38,villain nemesis,66
7,hearth abode,41
25,pitch trap,43
31,substituted bride,8
20,dead (or transformed) mother help,21
36,token objects,50
8,help at grave,30
15,lovesick prince,67
27,recognition food,60
11,heroine flight and hero flight,88
10,heroine disguise and hero disguise,104
24,outcast heroine and hero,34
26,recognition by means of shoe or ring,16
12,hiding-box,22
3,countertasks,70
32,surprise rencontre,9
37,trophy marriage test,3
4,dead father help,2
