story_num,story_version,abstract,variant_group
1,s1,"FARMER'S three daughter wash their hands for seven years in new milk because they are to be king's servants. Eldest daughter on way to palace meets sheep with scissors on its horns, asking to be shorn; cow with pail on its horns, asking to be milked; old man in ditch, asking to be helped out. She refuses each lest she soil her hands. Same thing happens to second daughter, who declines to help. Heroine shears sheep, gets wool as reward; milks cow, puts wool into the milk; helps old man out of ditch, gets his stick, black at one end, green at the other. Menial heroine (swineherd at palace)--Magic dresses, obtained by striking pig-sty wall with black end of stick--meeting-place (garden)--King pursues heroine [Threefold flight]; catches her third time--Lost shoe --Shoe marriage test --Happy marriage--Sisters are servants to heroine.",A
3,s3,"Heroine persuades widowed father to marry her Fairy-god mother--Ill-treated heroine (by stepmother)--Menial heroine (minds goat)--Task (spinning)--Task-performing animal (goat) --Slaying of helpful animal--Eating taboo--Revivified bones--Father starting on voyage offers gifts. Heroine bids him only visit her aunt and carry greeting. Aunt sends nut to heroine containing Magic dress; and, on second occasion, almond containing gold slippers--Meeting-place (church)--Heroine made beautiful by bones; sits by stepsisters; gives one her handkerchief--Two-fold flight--Pursuers detained with (1) bran in their eyes, (2) handful of pence--Lost shoe--Shoe marriage test-- Happy marriage.",A
4,s4,"Ill-treated heroine (by step-mother and step-sisters)-- Menial heroine (minds sheep) -- Helpful animal -- Ear cornucopia--Spy on heroine--Slaying of helpful animal-- Old woman counsels heroine -- Revivified bones -- Task (to make big pot of soup out of thimbleful of water, one grain of barley, and one crumb of bread)--Task-performing animal-- Meeting-place (church)--Dresses (not magic) and glass slippers (her own)--Flight (two-fold)--Lost shoe--Shoe marriage test-- Mutilated foot --False bride-- Animal witness (raven) -- Happy marriage.",A
5,s5,"Ill-treated heroine (by step-mother) -- Menial heroine -- Fairy aid. Heroine gives water to fairy, who in return endows her with beauty, promises her a prince's love, and gives her calf with golden horns, which she must take care of and obey. Step mother, jealous, sends own daughter to draw water, but girl refuses drink to fairy, who causes her to shrivel up into old woman. Heroine daily pastures calf--Slaying of helpful animal (calf)-- Bones collected and put in grotto--Magic dresses (from grotto)--Meeting-place (mass)--Flight (manifold)--Lost shoe --Shoe marriage test--Happy marriage --Villain nemesis (step-sister remains accursed).",A
6,s6,"[Ill-treated heroine]--Gifts from father; heroine asks him to salute puzzone medianu , horse will not stir till he has done so. Puzzone (= prince, doing penance) sends (1) nut, (2) almond to Cinderella--Magic dresses, from almond; tiring-maids from nut --Meeting-place (church)--Lost shoe (silver)--Shoe marriage test--Heroine discovered in kitchen, wearing magic dress and silver shoe; prince gives her fellow-shoe.--Cinderella attends Mass in magic clothes; sits between sisters; gives each a flower and box on ear; reminds them of this afterwards, when they boast to father about lady's gift--C. invites father to dinner she' has prepared. Sisters deride her; but prince comes to dinner and claims bride--Happy marriage.",A
7,s7,"Ill-treated heroine (by mother)--Hearth abode--Gifts from father: heroine chooses gold tree, gold pot, gold spade; plants and tends tree which gives Magic dresses--Meeting-place (ball)--Three-fold flight--Trap--Lost shoe--Shoe marriage test--When prince returns to fetch bride, mother has hidden heroine in tub and dressed sister in her rags--Animal witness (cock)--Prince puts sister in tub and rides off with heroine--Happy marriage-- Mother boils sister by mistake: props up corpse on stairs. Father returns; getting no answer from corpse, knocks it downstairs.",A
9,s9,"Widowed King, father of Mjadveig, marries widow. She and her daughter Kroka change at will into giantesses--ill-treated heroine (by step-mother and step-sister)--Mother help (in dream)--Heroine directed by dead mother (1) to pick up kerchief in path; this is stolen from her by step-sister; (2) to follow due of yarn which conducts her to bower where she dwells un seen--Lost shoe; heroine vows she will wed whatever man finds it. King's son puts ashore to visit King; finds shoe, is persuaded by queen that it belongs to her daughter with whom he sails away--Mutilated foot--False bride -- Animal witness (birds in rigging)--Prince lands again at same spot; chances on heroine's bower; sees she wears fellow shoe to one he carries, and bids her put on; takes her to ship, goes to his own country--Happy marriage--Villain Nemesis--Step-sister is burnt and her ashes made into porridge which queen eats; she is then burnt also.",A
11,s11,"Parents leave boy and girl a baking-pan and a cat. Boy takes baking-pan--Cat aid--Menial heroine--(kitchenmaid at palace) --Helpful animal (cat) catches (1) reindeer, (2) stag, (3) elk; sells them to king for 100, 200, 300 dollars; buys for heroine saddle-horse and Magic dresses--Token objects thrown: water, towel, comb.--Meeting-place (church)--Threefold flight--Prince secures heroine's glove--Pitch trap--Lost shoe (golden)--Shoe marriage test--Mutilated foot--False bride--Animal witness (bird)--Magic dress worn under husk--Happy marriage.",A
12,s12,"Ill-treated heroine (by step-mother)--Task (to gather grain from ashes)- Aid from hill-folk.--Magic dresses--[Story proceeds like ""Kari Traestak"" (see",A
13,s13,"Man, seeking runaway horse, comes to widow's house and rests. Chair holds him captive till he promises to marry widow--Ill-treated heroine (by step-mother and step-sisters)--Menial heroine (herds cattle)--Helpful animal (ox)--. -Ear cornucopia-- Step-sisters sent to spy; heroine sends them to sleep by hair dressing. But eye in back of second step-sister's neck discovers magic food-supply--Slaying of helpful animal--House springs up where ox is buried, containing dresses, etc., for heroine--Task (to gather grain from ashes)-task-performing animals (birds)--Magic dresses--Meeting-place (church)--Threefold flight-- Lost shoe--Shoe marriage test--Mutilated feet--Happy marriage.",A
14,s14,"Menial heroine, in troll's service--Meeting-place (church)-- Threefold flight--Lost shoe--Shoe marriage test--Mutilated foot (step-sister's)--Animal witness (birds)--Happy marriage.",A
