Source,Target,Type,Count,Variant
38,6,Directed,1,s10
38,6,Directed,1,s34
38,2,Directed,1,s68
38,6,Directed,1,s102
38,6,Directed,1,s123
38,6,Directed,1,s211
38,6,Directed,1,s230
38,6,Directed,1,s241
38,6,Directed,1,s249
38,6,Directed,1,s273
38,6,Directed,1,s301
37,17,Directed,1,s323
37,17,Directed,1,s332
37,17,Directed,1,s338
36,18,Directed,1,s11
36,15,Directed,1,s20
36,16,Directed,1,s30
36,35,Directed,1,s44
36,14,Directed,1,s45
36,6,Directed,1,s58
36,16,Directed,1,s59
36,35,Directed,1,s67
36,8,Directed,1,s109
36,25,Directed,1,s126
36,35,Directed,1,s131
36,35,Directed,1,s132
36,35,Directed,1,s134
36,15,Directed,1,s135
36,15,Directed,1,s136
36,35,Directed,1,s137
36,35,Directed,1,s138
36,35,Directed,1,s142
36,35,Directed,1,s143
36,35,Directed,1,s146
36,35,Directed,1,s150
36,35,Directed,1,s152
36,18,Directed,1,s154
36,35,Directed,1,s155
36,35,Directed,1,s157
36,35,Directed,1,s165
36,6,Directed,1,s172
36,35,Directed,1,s174
36,35,Directed,1,s176
36,35,Directed,1,s181
36,35,Directed,1,s183
36,35,Directed,1,s184
36,35,Directed,1,s192
36,35,Directed,1,s197
36,35,Directed,1,s198
36,35,Directed,1,s199
36,18,Directed,1,s201
36,16,Directed,1,s204
36,18,Directed,1,s206
36,18,Directed,1,s207
36,14,Directed,1,s224
36,35,Directed,1,s250
36,18,Directed,1,s258
36,35,Directed,1,s264
36,35,Directed,1,s265
36,35,Directed,1,s267
36,35,Directed,1,s268
36,35,Directed,1,s271
36,35,Directed,1,s304
36,35,Directed,1,s311
35,14,Directed,1,s1
35,14,Directed,1,s2
35,14,Directed,1,s3
35,25,Directed,1,s7
35,25,Directed,1,s11
35,14,Directed,1,s13
35,14,Directed,1,s14
35,14,Directed,1,s15
35,25,Directed,1,s16
35,14,Directed,1,s18
35,14,Directed,1,s19
35,36,Directed,1,s20
35,14,Directed,1,s22
35,14,Directed,1,s23
35,14,Directed,1,s24
35,14,Directed,1,s26
35,14,Directed,1,s28
35,14,Directed,1,s29
35,25,Directed,1,s30
35,14,Directed,1,s31
35,14,Directed,1,s32
35,14,Directed,1,s33
35,14,Directed,1,s34
35,25,Directed,1,s36
35,25,Directed,1,s37
35,14,Directed,1,s38
35,14,Directed,1,s39
35,17,Directed,1,s41
35,25,Directed,1,s42
35,25,Directed,1,s44
35,14,Directed,1,s46
35,14,Directed,1,s47
35,14,Directed,1,s50
35,14,Directed,1,s51
35,14,Directed,1,s52
35,14,Directed,1,s54
35,25,Directed,1,s55
35,25,Directed,1,s57
35,1,Directed,1,s58
35,14,Directed,1,s59
35,25,Directed,1,s61
35,14,Directed,1,s62
