Source,Target,Type,Count
1,10,Undirected,9
1,11,Undirected,6
1,12,Undirected,1
1,13,Undirected,15
1,16,Undirected,28
1,17,Undirected,27
1,18,Undirected,3
1,19,Undirected,25
1,24,Undirected,5
1,25,Undirected,2
1,26,Undirected,1
1,3,Undirected,38
1,30,Undirected,1
1,33,Undirected,4
1,34,Undirected,2
1,35,Undirected,1
1,5,Undirected,1
1,6,Undirected,2
1,7,Undirected,8
1,8,Undirected,2
1,9,Undirected,5
10,11,Undirected,59
10,12,Undirected,1
10,13,Undirected,3
10,16,Undirected,40
10,18,Undirected,2
10,19,Undirected,50
10,20,Undirected,1
10,23,Undirected,1
10,24,Undirected,15
10,25,Undirected,1
10,27,Undirected,1
10,30,Undirected,1
10,33,Undirected,2
11,12,Undirected,4
11,13,Undirected,4
11,14,Undirected,2
11,15,Undirected,1
11,16,Undirected,18
11,17,Undirected,2
11,18,Undirected,9
11,19,Undirected,42
11,21,Undirected,3
11,25,Undirected,1
11,28,Undirected,1
11,30,Undirected,7
11,32,Undirected,1
11,37,Undirected,1
12,14,Undirected,1
12,16,Undirected,6
12,17,Undirected,2
12,18,Undirected,1
12,19,Undirected,3
12,24,Undirected,1
12,25,Undirected,2
12,29,Undirected,1
12,32,Undirected,7
12,35,Undirected,1
13,14,Undirected,1
13,16,Undirected,13
13,17,Undirected,1
13,18,Undirected,1
13,19,Undirected,55
13,20,Undirected,8
13,24,Undirected,5
13,25,Undirected,1
13,29,Undirected,1
13,30,Undirected,1
13,33,Undirected,4
13,34,Undirected,6
13,38,Undirected,1
14,15,Undirected,3
14,16,Undirected,3
14,17,Undirected,4
14,18,Undirected,21
14,20,Undirected,2
14,23,Undirected,3
14,25,Undirected,36
14,26,Undirected,1
14,27,Undirected,1
14,28,Undirected,1
14,29,Undirected,118
14,35,Undirected,69
14,36,Undirected,2
15,16,Undirected,1
15,17,Undirected,1
15,18,Undirected,4
15,19,Undirected,9
15,24,Undirected,1
15,26,Undirected,3
15,27,Undirected,52
15,29,Undirected,3
15,32,Undirected,2
15,35,Undirected,42
15,36,Undirected,3
16,18,Undirected,128
16,19,Undirected,40
16,20,Undirected,3
16,21,Undirected,2
16,22,Undirected,1
16,25,Undirected,1
16,26,Undirected,1
16,28,Undirected,4
16,30,Undirected,6
16,33,Undirected,5
16,34,Undirected,12
16,35,Undirected,4
16,36,Undirected,5
16,37,Undirected,1
16,38,Undirected,1
17,19,Undirected,1
17,23,Undirected,60
17,26,Undirected,3
17,27,Undirected,4
17,29,Undirected,128
17,31,Undirected,2
17,33,Undirected,2
17,34,Undirected,1
17,35,Undirected,2
17,36,Undirected,1
17,37,Undirected,3
17,38,Undirected,1
18,19,Undirected,56
18,24,Undirected,1
18,25,Undirected,2
18,26,Undirected,1
18,27,Undirected,1
18,28,Undirected,1
18,29,Undirected,1
18,30,Undirected,1
18,31,Undirected,1
18,34,Undirected,2
18,35,Undirected,134
18,36,Undirected,43
19,20,Undirected,1
19,24,Undirected,4
19,26,Undirected,2
19,30,Undirected,1
19,33,Undirected,8
19,34,Undirected,5
19,35,Undirected,1
19,36,Undirected,7
2,12,Undirected,1
2,14,Undirected,2
2,16,Undirected,1
2,17,Undirected,9
2,19,Undirected,2
2,23,Undirected,25
2,26,Undirected,1
2,30,Undirected,2
2,38,Undirected,5
2,5,Undirected,24
2,6,Undirected,57
2,9,Undirected,1
20,28,Undirected,2
20,30,Undirected,3
20,33,Undirected,2
20,34,Undirected,1
21,30,Undirected,9
21,36,Undirected,2
22,28,Undirected,9
22,30,Undirected,6
23,29,Undirected,3
23,30,Undirected,1
25,29,Undirected,1
25,35,Undirected,33
25,36,Undirected,1
26,33,Undirected,1
26,34,Undirected,1
26,35,Undirected,1
26,38,Undirected,1
27,35,Undirected,4
28,30,Undirected,6
28,33,Undirected,1
29,30,Undirected,1
29,35,Undirected,3
3,10,Undirected,2
3,11,Undirected,2
3,12,Undirected,5
3,16,Undirected,57
3,17,Undirected,7
3,19,Undirected,1
3,20,Undirected,3
3,8,Undirected,4
3,9,Undirected,1
30,33,Undirected,2
30,34,Undirected,9
30,38,Undirected,1
31,35,Undirected,1
31,38,Undirected,4
32,35,Undirected,1
33,34,Undirected,12
33,38,Undirected,1
35,36,Undirected,33
35,37,Undirected,1
4,8,Undirected,2
5,19,Undirected,1
5,23,Undirected,22
5,31,Undirected,1
5,34,Undirected,2
5,38,Undirected,2
5,6,Undirected,3
5,8,Undirected,1
6,10,Undirected,3
6,11,Undirected,2
6,12,Undirected,6
6,14,Undirected,6
6,15,Undirected,8
6,16,Undirected,5
6,17,Undirected,59
6,18,Undirected,2
6,19,Undirected,20
6,23,Undirected,18
6,24,Undirected,5
6,25,Undirected,1
6,26,Undirected,15
6,27,Undirected,54
6,28,Undirected,1
6,29,Undirected,1
6,30,Undirected,5
6,31,Undirected,6
6,32,Undirected,7
6,33,Undirected,4
6,34,Undirected,3
6,35,Undirected,11
6,36,Undirected,2
6,38,Undirected,60
6,7,Undirected,3
6,8,Undirected,1
6,9,Undirected,1
7,13,Undirected,23
7,14,Undirected,2
7,16,Undirected,9
7,18,Undirected,2
7,19,Undirected,13
7,20,Undirected,1
7,25,Undirected,1
7,29,Undirected,1
7,33,Undirected,1
7,34,Undirected,3
7,8,Undirected,5
7,9,Undirected,3
8,10,Undirected,1
8,11,Undirected,1
8,13,Undirected,2
8,16,Undirected,12
8,19,Undirected,3
8,20,Undirected,8
8,21,Undirected,1
8,28,Undirected,5
8,33,Undirected,3
8,34,Undirected,3
8,36,Undirected,1
8,9,Undirected,1
9,10,Undirected,2
9,11,Undirected,6
9,13,Undirected,12
9,16,Undirected,12
9,19,Undirected,23
9,21,Undirected,13
9,25,Undirected,1
9,30,Undirected,11
9,33,Undirected,2
