story_num,story_version,length,variant_group
1,s1,840,A
3,s3,682,A
4,s4,542,A
5,s5,642,A
6,s6,723,A
7,s7,564,A
9,s9,926,A
11,s11,546,A
12,s12,151,A
13,s13,682,A
14,s14,181,A
15,s15,209,A
16,s16,343,A
20,s20,405,A
21,s21,721,A
22,s22,500,A
23,s23,351,A
24,s24,745,A
25,s25,289,A
26,s26,600,A
27,s27,713,A
28,s28,650,A
29,s29,998,A
30,s30,1136,A
31,s31,561,A
32,s32,614,A
33,s33,431,A
34,s34,582,A
35,s35,587,A
36,s36,271,A
37,s37,572,A
38,s38,607,A
39,s39,598,A
40,s40,634,A
41,s41,155,A
42,s42,405,A
43,s43,289,A
44,s44,803,A
45,s45,662,A
46,s46,516,A
47,s47,285,A
48,s48,538,A
51,s51,545,A
54,s54,568,A
55,s55,255,A
57,s57,330,A
59,s59,651,A
60,s60,526,A
61,s61,704,A
62,s62,582,A
63,s63,475,A
64,s64,294,A
65,s65,323,A
66,s66,458,A
67,s67,917,A
68,s68,774,A
69,s69,1778,A
72,s72,303,A
76,s76,244,A
77,s77,360,A
78,s78,303,A
79,s79,426,A
80,s80,280,A
81,s81,517,A
89,s89,906,A
90,s90,635,A
93,s93,430,A
96,s96,1004,A
97,s97,757,A
99,s99,812,A
100,s100,746,A
110,s110,731,A
112,s112,483,A
114,s114,372,A
115,s115,344,A
116,s116,101,A
117,s117,590,A
118,s118,850,A
119,s119,588,A
120,s120,240,A
122,s122,347,A
123,s123,692,A
124,s124,466,A
126,s126,699,A
127,s127,597,A
134,s134,627,B
135,s135,458,B
136,s136,382,B
137,s137,572,B
138,s138,379,B
139,s139,312,B
141,s141,290,B
142,s142,315,B
144,s144,460,B
147,s147,400,B
148,s148,660,B
150,s150,413,B
151,s151,319,B
152,s152,430,B
153,s153,451,B
154,s154,460,B
155,s155,595,B
157,s157,499,B
159,s159,555,B
161,s161,516,B
162,s162,314,B
163,s163,193,B
164,s164,261,B
165,s165,389,B
168,s168,437,B
169,s169,400,B
170,s170,460,B
171,s171,580,B
172,s172,312,B
173,s173,266,B
175,s175,705,B
176,s176,504,B
177,s177,912,B
178,s178,600,B
179,s179,502,B
180,s180,331,B
181,s181,347,B
182,s182,236,B
183,s183,865,B
184,s184,751,B
189,s189,184,B
191,s191,1256,B
192,s192,265,B
193,s193,867,B
196,s196,535,B
200,s200,406,B
203,s203,217,B
204,s204,488,B
206,s206,292,B
208,s208,1018,B
209,s209,361,C
210,s210,660,C
211,s211,755,C
212,s212,332,C
213,s213,219,C
214,s214,213,C
215,s215,393,C
216,s216,724,C
217,s217,359,C
218,s218,864,C
219,s219,251,C
220,s220,449,C
222,s222,288,C
223,s223,273,C
224,s224,635,C
225,s225,212,C
226,s226,280,C
227,s227,641,Da
228,s228,1423,Da
230,s230,480,Da
231,s231,907,Da
232,s232,697,Da
233,s233,824,Da
235,s235,542,Da
